Title,Salary,Link,Vaxx
"Data Analyst, Summer 2022 Student Opportunities",,https://ca.indeed.com/rc/clk?jk=2565e400c1fe9ba5&fccid=537b899e30af3338&vjs=3,True
IT Data Analyst III,,https://ca.indeed.com/rc/clk?jk=9fe4e435d0ad6208&fccid=d7114f1cac8d0711&vjs=3,False
Data Analyst NOC-2172,"$6,638 a month",https://ca.indeed.com/company/hbimsw.ca/jobs/Data-Analyst-Noc-0ad56fa53c71d61d?fccid=40dfdaec8d1417f0&vjs=3,False
Data Analyst (Remote in Canada),,https://ca.indeed.com/company/InteraXon/jobs/Data-Analyst-e472f1265629831b?fccid=1fc1efce6d60cd16&vjs=3,False
Data Science Analyst,,https://ca.indeed.com/rc/clk?jk=07c2dedb9972cd0c&fccid=2e16043297423070&vjs=3,True
Data Analyst,$50 - $65 an hour,https://ca.indeed.com/company/www.dawninfotek.com/jobs/Data-Analyst-53e7925a31cf6153?fccid=b92bdfc2ac8613c3&vjs=3,False
Junior Data Analyst,"$45,000 a year",https://ca.indeed.com/company/Delvinia/jobs/Junior-Data-Analyst-fc91e0d3806a3c48?fccid=e1fe1efe2ecb95ed&vjs=3,False
"Data Analyst (Fixed-Term, 12-months)",,https://ca.indeed.com/rc/clk?jk=956402583f4a407a&fccid=13a3479abac5f822&vjs=3,False
Jr. Data Analyst,"$40,000 - $45,000 a year",https://ca.indeed.com/company/Flex-Surveys/jobs/Junior-Data-Analyst-f02ceafddcf92f21?fccid=25edde9d786f2c99&vjs=3,False
Data Analyst IV,,https://ca.indeed.com/rc/clk?jk=ae6990950e671de5&fccid=d7114f1cac8d0711&vjs=3,False
Data Analyst,,https://ca.indeed.com/company/Clutch-Canada/jobs/Data-Analyst-d0b4bb99133f38ec?fccid=5fb79bf1f6da0240&vjs=3,True
Business Analyst,,https://ca.indeed.com/company/MSi-Corp/jobs/Business-Analyst-5b3a04ed12bc059d?fccid=183e06e7def5a52c&vjs=3,False
